ADMINISTRATOR,CODIST,SCHOOL NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE,FAX,ESU AFFILIATION,COUNTY,EMAIL
Michelle   Lundgren,55-0755-000,PARKVIEW CHRISTIAN SCHOOLS,4400 N 1ST ST,,LINCOLN,NE,68521-2410,(402)474-5820,(402)474-5830,00,LANCASTER,mlundgren@graceu.edu
Jacqueline   Berniklau,55-0759-000,BERNIKLAU ED SOLUTIONS TEAM,6400 EASTSHORE DRIVE,,LINCOLN,NE,68516-3943,(402)420-2888,(402)420-2942,00,LANCASTER,jacquejjbest@berniklaueducationsolutionsteam.com
,55-0605-000,UNIVERSITY OF NEBRASKA HIGH SCHOOL,,PO BOX 880226,LINCOLN,NE,68588-8400,(402)472-4338,(402)472-1901,00,LANCASTER,
,55-0709-000,COLLEGE VIEW ACADEMY,5240 CALVERT ST,,LINCOLN,NE,68506-3935,(402)483-1181,(402)483-5574,00,LANCASTER,
,55-0711-000,GEORGE STONE ELEMENTARY S D A,3800 S 48TH ST,,LINCOLN,NE,68506-4316,(402)486-2896,(402)486-2574,00,LANCASTER,
,55-0713-000,ST MARK ELEMENTARY SCHOOL,3930 S 19TH ST,,LINCOLN,NE,68502-5507,(402)423-1497,(402)817-4481,00,LANCASTER,
,55-0717-000,TRINITY LUTHERAN ELEM SCHOOL,1200 N 56TH ST,,LINCOLN,NE,68504-3297,(402)466-1800,(402)466-1820,18,LANCASTER,
,55-0734-000,TRINITY KINDERGARTEN PROGRAM,1345 S 16TH,,LINCOLN,NE,68502-1416,(402)475-9731,(402)435-3185,00,LANCASTER,
,55-0743-000,PRAIRIE HILL LEARNING CENTER,17705 S 12TH,,ROCA,NE,68430-9708,(402)438-6668,(402)438-6668,00,LANCASTER,
,55-0745-000,CHILDREN'S CIRCLE MONTESSORI,121 SKYWAY RD,,LINCOLN,NE,68505-2627,(402)489-0878,(402)489-0282,00,LANCASTER,
,55-0754-000,CHILD VIEW MONTESSORI,3341 PIONEERS BLVD STE 3,,LINCOLN,NE,68506-4895,(402)484-8277,(402)484-8277,00,LANCASTER,
,55-0766-000,ST MICHAEL CATHOLIC SCHOOL,9101 SOUTH 78TH STREET,,LINCOLN,NE,68516-4003,(402)488-1313,,18,LANCASTER,
,55-4001-000,MORTON SCHOOL,,PO BOX 94949,LINCOLN,NE,68509-4949,(402)471-1645,(402)471-1647,18,LANCASTER,
,55-4002-000,PATHFINDER ED PRG-LANCASTER CO,1200 RADCLIFF STREET,,LINCOLN,NE,68512-2506,(402)441-6817,(402)441-5624,18,LANCASTER,
,55-4003-000,CHILD GUIDANCE CTR TGH SCHOOL,904 SUMNER,,LINCOLN,NE,68502-2154,(402)434-2670,(402)434-2672,18,LANCASTER,
Cory Worrell,55-0145-000,WAVERLY SCHOOL DISTRICT 145,14511 HEYWOOD ST,PO BOX 426,WAVERLY,NE,68462-0426,(402)786-2321,(402)786-2799,06,LANCASTER,cory.worrell@district145.org
Ryan Terwilliger,55-0148-000,MALCOLM PUBLIC SCHOOLS,10004 N W 112TH ST,,MALCOLM,NE,68402-9561,(402)796-2151,(402)796-2178,06,LANCASTER,ryan.terwilliger@mps148.org
Rev John Perkinton,55-0701-000,BLESSED SACRAMENT CATHOLIC ELEM SCHOOL,1725 LAKE STREET,,LINCOLN,NE,68502-3767,(402)476-6202,(402)474-4258,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0703-000,CATHEDRAL OF RISEN CHRIST ELEM,3245 S 37TH,,LINCOLN,NE,68506-6107,(402)489-9621,(402)489-9622,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0707-000,PIUS X HIGH SCHOOL,6000 A ST,,LINCOLN,NE,68510-5005,(402)488-0931,(402)488-1061,18,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0708-000,SACRED HEART ELEM SCHOOL,540 N 31ST STREET,,LINCOLN,NE,68503-3299,(402)476-1783,(402)476-3040,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0712-000,ST JOHN'S ELEMENTARY SCHOOL,7601 VINE ST,,LINCOLN,NE,68505-2191,(402)486-1860,(402)486-4762,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0714-000,ST MARY'S ELEMENTARY SCHOOL,1434 K ST,,LINCOLN,NE,68508-2730,(402)476-3987,(402)476-0838,18,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0715-000,ST PATRICK CATHOLIC SCHOOL,4142 N 61ST STREET,,LINCOLN,NE,68507-1277,(402)466-3710,(402)466-3572,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0716-000,ST TERESA ELEMENTARY SCHOOL,616 S 36TH ST,,LINCOLN,NE,68510-1694,(402)477-3358,(402)477-3361,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0719-000,ST JOSEPH'S CATHOLIC SCHOOL,1940 S 77TH ST,,LINCOLN,NE,68506-1805,(402)489-0341,(402)489-3260,18,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0720-000,VILLA MARIE SCHOOL,7205 N 112TH,,WAVERLY,NE,68462-9573,(402)786-3625,(402)786-3625,06,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0753-000,ST PETER'S CATHOLIC SCHOOL,4500 DUXHALL DR,,LINCOLN,NE,68516-2860,(402)421-6299,(402)421-6507,00,LANCASTER,fr.john-perkinton@cdolinc.net
Rev John Perkinton,55-0758-000,NORTH AMERICAN MARTYRS SCHOOL,1101 ISAAC DRIVE,,LINCOLN,NE,68521-5312,(402)476-7373,(402)476-8088,18,LANCASTER,fr.john-perkinton@cdolinc.net
Scott   Ernstmeyer,55-0706-000,LINCOLN LUTHERAN MS/SR HIGH,1100 N 56TH ST,,LINCOLN,NE,68504-3251,(402)467-5404,(402)467-5405,00,LANCASTER,sernstmeyer@lincolnlutheran.org
Zachary   Kassebaum,55-0704-000,LINCOLN CHRISTIAN SCHOOLS,5801 S 84TH ST,,LINCOLN,NE,68516-3804,(402)488-8888,(402)488-8903,00,LANCASTER,zach.kassebaum@lincolnchristian.org
John Skretta,55-0160-000,NORRIS SCHOOL DIST 160,25211 S 68TH ST,,FIRTH,NE,68358-9732,(402)791-0000,(402)791-0025,06,LANCASTER,john.skretta@nsdtitans.org
Derrick Joel,55-0161-000,RAYMOND CENTRAL PUBLIC SCHOOLS,1800 W AGNEW RD,,RAYMOND,NE,68428-9783,(402)785-2615,(402)785-2097,02,LANCASTER,djoel@rcentral.org
Stephen Joel,55-0001-000,LINCOLN PUBLIC SCHOOLS,,PO BOX 82889,LINCOLN,NE,68501-2889,(402)436-1000,(402)436-1620,18,LANCASTER,sjoel@lps.org
Don   Weber,55-0702-000,MESSIAH LUTHERAN ELEMENTARY  SCHOOL,1800 S 84TH ST,,LINCOLN,NE,68506-1899,(402)489-3024,(402)489-3093,18,LANCASTER,dweber55@yahoo.com
Don   Weber,55-0728-000,FAITH LUTHERAN SCHOOL,8701 ADAMS,,LINCOLN,NE,68507-9735,(402)466-7402,(402)466-3857,18,LANCASTER,dweber55@yahoo.com
Don   Weber,55-0762-000,GOOD SHEPHERD LUTHERAN SCHOOL,3825 WILDBRIAR LANE,,LINCOLN,NE,68516-4502,(402)423-7677,(402)423-0984,00,LANCASTER,dweber55@yahoo.com
Don   Weber,55-0764-000,CHRIST ELEMENTARY SCHOOL,4325 SUMNER STREET,,LINCOLN,NE,68506-1165,(402)483-7774,(402)483-7776,00,LANCASTER,dweber55@yahoo.com
Don   Weber,56-0701-000,OUR REDEEMER LUTHERAN ELEM SCH,1400 EAST E ST,,NORTH PLATTE,NE,69101-5770,(308)532-6421,(308)532-0295,16,LINCOLN,dweber55@yahoo.com
Kevin   Dodson,56-0702-000,NORTH PLATTE CATHOLIC SCHOOLS,,PO BOX 970,NORTH PLATTE,NE,69103-0970,(308)532-1874,(308)532-8015,16,LINCOLN,k.dodson@npcschools.org
Dan Keyser,56-0055-000,SUTHERLAND PUBLIC SCHOOLS,401 WALNUT,PO BOX 217,SUTHERLAND,NE,69165-0217,(308)386-4656,(308)386-2426,16,LINCOLN,dan.keyser@spssailors.org
Thomas Sandberg,56-0565-000,WALLACE PUBLIC SCH DIST 65 R,151 N WALLACE RD,,WALLACE,NE,69169-8016,(308)387-4323,(308)387-4322,16,LINCOLN,thsandberg@whscats.org
James Mcgown,56-0006-000,BRADY PUBLIC SCHOOLS,112 E POPLETON AVE,PO BOX 68,BRADY,NE,69123-0068,(308)584-3317,(308)584-3725,16,LINCOLN,jmcgown@bradyschools.org
RONALD HANSON,56-0001-000,NORTH PLATTE PUBLIC SCHOOLS,301 WEST F,PO BOX 1557,NORTH PLATTE,NE,69103-1557,(308)535-7100,(308)535-5300,16,LINCOLN,rhanson@nppsd.org
Todd Rhodes,56-0007-000,MAXWELL PUBLIC SCHOOLS,415 E HWY 30,PO BOX 188,MAXWELL,NE,69151-0188,(308)582-4585,(308)582-4584,16,LINCOLN,trhodes@maxwellschools.org
Jane Davis,56-0037-000,HERSHEY PUBLIC SCHOOLS,301 S LINCOLN,PO BOX 369,HERSHEY,NE,69143-0369,(308)368-5574,(308)368-5570,16,LINCOLN,jane.davis@hpspanthers.org
Howard Gaffney,57-0501-000,STAPLETON PUBLIC SCHOOLS,702 6TH STREET,PO BOX 128,STAPLETON,NE,69163-0128,(308)636-2252,(308)636-2618,16,LOGAN,howard.gaffney@stapletonschools.org
Wayne Ruppert,58-0025-000,LOUP COUNTY PUBLIC SCHOOLS,608 WILLIAMS ST,PO BOX 170,TAYLOR,NE,68879-0170,(308)942-6115,(308)942-6248,10,LOUP,wruppert@loupcountyschools.org
JAMI JO THOMPSON,59-0002-000,NORFOLK PUBLIC SCHOOLS,512 PHILIP AVE,PO BOX 139,NORFOLK,NE,68702-0139,(402)644-2500,(402)644-2506,08,MADISON,jamijothompson@npsne.org
Don   Weber,59-0706-000,CHRIST LUTHERAN ELEM SCHOOL,511 S 5TH ST,,NORFOLK,NE,68701-5297,(402)371-5536,(402)371-1288,08,MADISON,dweber55@yahoo.com
Don   Weber,59-0708-000,ST JOHN LUTHERAN ELEM SCHOOL,102 W MARTIN STREET,PO BOX 67,BATTLE CREEK,NE,68715-0067,(402)675-3605,(402)675-1303,08,MADISON,dweber55@yahoo.com
Don   Weber,59-0714-000,LUTHERAN HIGH NORTHEAST,2010 N 37 ST,,NORFOLK,NE,68701-3108,(402)379-3040,(402)379-8340,08,MADISON,dweber55@yahoo.com
Keith Leckron,59-0080-000,ELKHORN VALLEY SCHOOLS,,PO BOX 430,TILDEN,NE,68781-0430,(402)368-5301,(402)368-5338,08,MADISON,keith.a.leckron@gmail.com
JAY BELLAR,59-0005-000,BATTLE CREEK PUBLIC SCHOOLS,605 WEST MARTIN ST,PO BOX 100,BATTLE CREEK,NE,68715-0100,(402)675-6905,(402)675-1038,08,MADISON,jbellar@bcpsne.info
,59-0703-000,TRINITY LUTHERAN ELEM SCHOOL,705 W 6TH ST,PO BOX 969,MADISON,NE,68748-0969,(402)454-2651,(402)454-3476,08,MADISON,
,59-0704-000,NORFOLK CATHOLIC SCHOOLS,2300 MADISON AVE,,NORFOLK,NE,68701-4456,(402)371-2784,(402)379-2929,08,MADISON,
,59-0707-000,ST PAUL'S LUTHERAN ELEM SCHOOL,1010 GEORGIA AVE,,NORFOLK,NE,68701-2837,(402)371-1233,(402)379-3646,08,MADISON,
,59-0712-000,KEYSTONE CHRISTIAN ACADEMY,715 MADISON AVE,,NORFOLK,NE,68701-5109,(402)371-3531,(402)371-4824,00,MADISON,
,59-4001-000,NORTHEAST NE JUVENILE SERVICES,1313 1/2 N MAIN STREET,,MADISON,NE,68748-0050,(402)454-3955,(402)454-4097,08,MADISON,
Mikal Shalikow,59-0013-000,NEWMAN GROVE PUBLIC SCHOOLS,,PO BOX 370,NEWMAN GROVE,NE,68758-0370,(402)447-2721,(402)447-2445,08,MADISON,mikal.shalikow@ngpublicschools.com
Michael Ashton,59-0702-000,ST LEONARD'S ELEMENTARY SCHOOL,504 S NEBRASKA ST,PO BOX 368,MADISON,NE,68748-0368,(402)454-3525,(402)454-6533,08,MADISON,mwashton@archomaha.org
Alan Ehlers,59-0001-000,MADISON PUBLIC SCHOOLS,700 S KENT,PO BOX 450,MADISON,NE,68748-0450,(402)454-3336,(402)454-2238,08,MADISON,aehlers@esu8.org
Dana Jeppson,60-0090-000,MC PHERSON COUNTY SCHOOLS,525 HWY 92,PO BOX 38,TRYON,NE,69167-0038,(308)587-2262,(308)587-2571,16,MCPHERSON,djeppson@mcstryon.org
Joshua   Cumpston,61-0701-000,NEBRASKA CHRISTIAN SCHOOLS,1847 INSKIP AVE,,CENTRAL CITY,NE,68826-8008,(308)946-3836,(308)946-3837,00,MERRICK,jcumpston@nebraskachristian.org
Joel Bohlken,61-0049-000,PALMER PUBLIC SCHOOLS,,PO BOX 248,PALMER,NE,68864-0248,(308)894-3065,(308)894-8245,07,MERRICK,jbohlken@palmer.esu7.org
JEFFREY JENSEN,61-0004-000,CENTRAL CITY PUBLIC SCHOOLS,1711 15TH AVE,PO BOX 57,CENTRAL CITY,NE,68826-0057,(308)946-3055,(308)946-3149,07,MERRICK,jjensen@centralcityps.org
Travis Miller,62-0021-000,BAYARD PUBLIC SCHOOLS,726 4TH AVE,PO BOX 607,BAYARD,NE,69334-0607,(308)586-1325,(308)586-1638,13,MORRILL,travis.miller@bpstigers.org
Charles Lambert,62-0063-000,BRIDGEPORT PUBLIC SCHOOLS,800 Q ST,PO BOX 430,BRIDGEPORT,NE,69336-0430,(308)262-1470,(308)262-1470,13,MORRILL,clambert@bpsbulldogs.org
John Weidner,63-0030-000,TWIN RIVER PUBLIC SCHOOLS,816 WILLARD AVE,PO BOX 640,GENOA,NE,68640-0640,(402)993-2274,(402)993-7718,07,NANCE,jweidner@twinriver.esu7.org
Jeff Anderson,63-0001-000,FULLERTON PUBLIC SCHOOLS,606 4TH ST,PO BOX 520,FULLERTON,NE,68638-0520,(308)536-2431,(308)536-2432,07,NANCE,janders@fullerton.esu7.org
Kevin Reiman,64-0029-000,AUBURN PUBLIC SCHOOLS,1713 J ST.,,AUBURN,NE,68305-1614,(402)274-4830,(402)274-5227,04,NEMAHA,kevin.reiman@apsbulldogs.org
Jeffrey Koehler,64-0023-000,JOHNSON-BROCK PUBLIC SCHOOLS,310 MAIN ST,PO BOX 186,JOHNSON,NE,68378-0186,(402)868-5235,(402)868-4785,04,NEMAHA,jeff.koehler@johnsonbrock.org
Charles Isom,65-0011-000,SUPERIOR PUBLIC SCHOOLS,,PO BOX 288,SUPERIOR,NE,68978-0288,(402)879-3258,(402)879-3022,09,NUCKOLLS,cisom@superiorwildcats.org
Randall Gilson,65-2005-000,SOUTH CENTRAL NEBRASKA UNIFIED 5,30671 HWY 14,,FAIRFIELD,NE,68938-2757,(402)726-2151,(402)726-2208,09,NUCKOLLS,rgilson@southcentralunified.org
Rev John Perkinton,66-0701-000,NEBRASKA CITY LOURDES CENTRAL,412 2ND AVE,,NEBRASKA CITY,NE,68410-1799,(402)873-6154,(402)873-3154,04,OTOE,fr.john-perkinton@cdolinc.net
Jeffrey Edwards,66-0111-000,NEBRASKA CITY PUBLIC SCHOOLS,1700 14TH AVENUE,,NEBRASKA CITY,NE,68410-2064,(402)873-6033,(402)873-6030,04,OTOE,jedwards@nebcityps.org
Brad Buller,66-0027-000,SYRACUSE-DUNBAR-AVOCA SCHOOLS,550 7TH ST,PO BOX P,SYRACUSE,NE,68446-0520,(402)269-2383,(402)269-2224,04,OTOE,bbuller@sdarockets.org
Robert Hanger,66-0501-000,PALMYRA DISTRICT O R 1,425 F ST,PO BOX 130,PALMYRA,NE,68418-0130,(402)780-5327,(402)780-5328,04,OTOE,hanger.rob@districtor1.net
Brian Rottinghaus,67-0001-000,PAWNEE CITY PUBLIC SCHOOLS,729 E ST,PO BOX 393,PAWNEE CITY,NE,68420-0393,(402)852-2988,(402)852-2993,04,PAWNEE,brottinghaus@pawneecityschool.net
Rick Kentfield,67-0069-000,LEWISTON CONSOLIDATED SCHOOLS,306 TIGER AVE,,LEWISTON,NE,68380-,(402)865-4675,(402)865-4875,04,PAWNEE,rkentfield@lewistonschool.net
Phillip Picquet,68-0020-000,PERKINS COUNTY SCHOOLS,740 SHERMAN AVE,PO BOX 829,GRANT,NE,69140-0829,(308)352-4735,(308)352-4769,16,PERKINS,phillip.picquet@perkinscountyschools.org
Rev John Perkinton,69-0705-000,ALL SAINTS CATHOLIC SCHOOL,1206 LOGAN ST,,HOLDREGE,NE,68949-1446,(308)995-4590,(308)995-2217,11,PHELPS,fr.john-perkinton@cdolinc.net
Todd Hilyard,69-0044-000,HOLDREGE PUBLIC SCHOOLS,505 14TH AVE,PO BOX 2002,HOLDREGE,NE,68949-2002,(308)995-8663,(308)995-6956,11,PHELPS,todd.hilyard@dusters.org
Sammy Dunn,69-0055-000,LOOMIS PUBLIC SCHOOLS,101 BRYAN,PO BOX 250,LOOMIS,NE,68958-0250,(308)876-2111,(308)876-2372,11,PHELPS,sam.dunn@loomiswolves.org
Dennis Shipp,69-0054-000,BERTRAND PUBLIC SCHOOLS,503 SCHOOL ST,PO BOX 278,BERTRAND,NE,68927-0278,(308)472-3427,(308)472-3429,11,PHELPS,dennis.shipp@bertrandvikings.org
David Hamm,70-0542-000,OSMOND COMMUNITY SCHOOLS,202 W PRAIRIE ST,PO BOX 458,OSMOND,NE,68765-0458,(402)748-3777,(402)748-3210,08,PIERCE,dhamm@esu8.org
Darron Arlt,70-0005-000,PLAINVIEW PUBLIC SCHOOLS,301 W PILCHER,PO BOX 638,PLAINVIEW,NE,68769-0638,(402)582-4993,(402)582-4665,08,PIERCE,darlt@plainviewschools.org
KENDALL STEFFENSEN,70-0002-000,PIERCE PUBLIC SCHOOLS,201 N SUNSET,,PIERCE,NE,68767-1816,(402)329-4677,(402)329-4678,08,PIERCE,kendallsteffensen@piercebluejays.org
,70-0701-000,ZION LUTHERAN ELEMENTARY SCH,520 E MAIN ST,,PIERCE,NE,68767-1668,(402)329-4658,(402)329-6406,08,PIERCE,
,70-0702-000,ZION LUTHERAN ELEMENTARY SCH,102 N 6TH ST,PO BOX 159,PLAINVIEW,NE,68769-0159,(402)582-3312,(402)582-3912,08,PIERCE,
,70-0703-000,IMMANUEL LUTHERAN ELEM SCH,105 E ELM,PO BOX 190,HADAR,NE,68738-0190,(402)371-0685,,08,PIERCE,
,70-0705-000,ST MARY ELEMENTARY SCHOOL,302 E 5TH ST,PO BOX 427,OSMOND,NE,68765-0427,(402)748-3433,(402)748-3433,08,PIERCE,
,71-0706-000,HOLY FAMILY SCHOOLS,301 PINE STREET,PO BOX 158,LINDSAY,NE,68644-0158,(402)428-3455,(402)428-3231,07,PLATTE,
,71-0708-000,ST FRANCIS SCHOOLS,300 S 7TH ST,PO BOX 277,HUMPHREY,NE,68642-0277,(402)923-0818,(402)923-1590,07,PLATTE,
,71-0710-000,ST JOHN LUTHERAN ELEM SCHOOL,39346 205TH AVE,,COLUMBUS,NE,68601-9819,(402)285-0335,(402)285-0335,07,PLATTE,
,71-0712-000,COLUMBUS CHRISTIAN SCHOOL,3418 15TH ST,PO BOX 924,COLUMBUS,NE,68602-0924,(402)562-6470,,07,PLATTE,
Aaron Plas,71-0005-000,LAKEVIEW COMMUNITY SCHOOLS,3744 83RD ST,,COLUMBUS,NE,68601-8841,(402)563-2345,(402)564-5209,07,PLATTE,aplas@lakeview.esu7.org
Don   Weber,71-0701-000,IMMANUEL LUTHERAN ELEM SCHOOL,2865 26TH AVE,,COLUMBUS,NE,68601-1826,(402)564-8423,(402)564-1162,07,PLATTE,dweber55@yahoo.com
Don   Weber,71-0711-000,CHRIST LUTHERAN ELEMENTARY SCH,32312 122ND AVE,,COLUMBUS,NE,68601-8727,(402)564-3531,(402)564-5680,07,PLATTE,dweber55@yahoo.com
Greg Sjuts,71-0067-000,HUMPHREY PUBLIC SCHOOLS,405 SOUTH 7TH STREET,PO BOX 278,HUMPHREY,NE,68642-0278,(402)923-1230,(402)923-1235,07,PLATTE,gregsjuts@humphrey.esu7.org
Troy Loeffelholz,71-0001-000,COLUMBUS PUBLIC SCHOOLS,2508 27TH ST,PO BOX 947,COLUMBUS,NE,68602-0947,(402)563-7000,(402)563-7005,07,PLATTE,loeffelholzt@discoverers.org
Michael Ashton,71-0702-000,ST ANTHONY ELEMENTARY SCHOOL,1719 6TH ST,,COLUMBUS,NE,68601-6907,(402)564-4767,(402)564-5530,07,PLATTE,mwashton@archomaha.org
Michael Ashton,71-0703-000,ST BONAVENTURE ELEM SCHOOL,1604 15TH ST,,COLUMBUS,NE,68601-5229,(402)564-7153,(402)564-2587,07,PLATTE,mwashton@archomaha.org
Michael Ashton,71-0704-000,ST ISIDORE ELEMENTARY SCHOOL,3821 20TH ST,,COLUMBUS,NE,68601-2903,(402)564-2604,(402)564-8955,07,PLATTE,mwashton@archomaha.org
Michael Ashton,71-0705-000,SCOTUS CENTRAL CATHOLIC,1554 18TH AVE,,COLUMBUS,NE,68601-5132,(402)564-7165,(402)564-6004,07,PLATTE,mwashton@archomaha.org
Chester Kay,72-0032-000,SHELBY - RISING CITY PUBLIC SCHOOLS,650 N WALNUT,PO BOX 218,SHELBY,NE,68662-0218,(402)527-5946,(402)527-5133,07,POLK,ckay@shelby.esu7.org
Brian Tonniges,72-0075-000,HIGH PLAINS COMMUNITY SCHOOLS,260 S PINE,PO BOX 29,POLK,NE,68654-0029,(402)765-2271,(402)765-2272,07,POLK,btonniges@hpcstorm.org
Steve Rinehart,72-0019-000,OSCEOLA PUBLIC SCHOOLS,565 S KIMMEL,PO BOX 198,OSCEOLA,NE,68651-0198,(402)747-3121,(402)747-3041,07,POLK,srinehart@osceola.esu7.org
Brent Hollinger,72-0015-000,CROSS COUNTY COMMUNITY SCHOOLS,1270 123RD RD,PO BOX 525,STROMSBURG,NE,68666-0525,(402)764-5521,(402)764-8294,07,POLK,bhollinger@crosscounty.esu7.org
,72-0701-000,POLK COUNTY CHRISTIAN SCHOOL,,PO BOX 177,OSCEOLA,NE,68651-0177,(402)747-6561,,07,POLK,
Robert Porter,73-0179-000,SOUTHWEST PUBLIC SCHOOLS,900 COKE ST,PO BOX 187,BARTLEY,NE,69020-0187,(308)692-3223,(308)692-3221,15,RED WILLOW,todd.porter@swpschools.org
Grant Norgaard,73-0017-000,MC COOK PUBLIC SCHOOLS,700 W 7TH,,MC COOK,NE,69001-3079,(308)345-2510,(308)345-2511,15,RED WILLOW,gnorgaard@mccookbison.org
Rev John Perkinton,73-0701-000,ST PATRICK'S ELEMENTARY SCHOOL,401 EAST F,PO BOX 1040,MC COOK,NE,69001-1040,(308)345-4546,(308)345-4546,15,RED WILLOW,fr.john-perkinton@cdolinc.net
Rev John Perkinton,74-0702-000,SACRED HEART SCHOOLS,1820 FULTON ST,,FALLS CITY,NE,68355-2234,(402)245-4151,(402)245-5217,04,RICHARDSON,fr.john-perkinton@cdolinc.net
Sherri Edmundson,74-0070-000,HUMBOLDT TABLE ROCK STEINAUER,810 CENTRAL AVE,,HUMBOLDT,NE,68376-9706,(402)862-2235,(402)862-3135,04,RICHARDSON,sherriedmundson@htrstitans.org
Timothy Heckenlively,74-0056-000,FALLS CITY PUBLIC SCHOOLS,1415 MORTON ST,PO BOX 129,FALLS CITY,NE,68355-0129,(402)245-2825,(402)245-2022,04,RICHARDSON,theckenlively@fallscityps.org
Thomas Becker,75-0100-000,ROCK COUNTY PUBLIC SCHOOLS,EAST HWY 20,PO BOX 448,BASSETT,NE,68714-0448,(402)684-3411,(402)684-3671,17,ROCK,tbecker@rockcountyschools.org
Daryl Schrunk,76-0044-000,DORCHESTER PUBLIC SCHOOL,506 W 9TH,PO BOX 7,DORCHESTER,NE,68343-0007,(402)946-2781,(402)946-6271,06,SALINE,dschrunk@dorchesterschool.org
Raymond Collins,76-0082-000,WILBER-CLATONIA PUBLIC SCHOOLS,900 S FRANKLIN,PO BOX 487,WILBER,NE,68465-0487,(402)821-2266,(402)821-3013,06,SALINE,ray.collins@wilberclatonia.org
Mike Waters,76-0002-000,CRETE PUBLIC SCHOOLS,920 LINDEN AVE,,CRETE,NE,68333-2292,(402)826-5855,(402)826-5120,06,SALINE,mike.waters@creteschools.org
,76-0703-000,ZION LUTHERAN ELEMENTARY SCH,2245 COUNTY ROAD 400,,TOBIAS,NE,68453-9759,(402)243-2354,(402)243-2354,05,SALINE,
Rev John Perkinton,76-0701-000,ST JAMES ELEMENTARY SCHOOL,525 E 14TH ST,,CRETE,NE,68333-1604,(402)826-2318,(402)826-2318,06,SALINE,fr.john-perkinton@cdolinc.net
David Kraus,76-0068-000,FRIEND PUBLIC SCHOOLS,501 MAIN ST,PO BOX 67,FRIEND,NE,68359-0067,(402)947-2781,(402)947-2026,06,SALINE,david.kraus@friendschool.org
Teri Lynn Schrag,77-0713-000,CORNERSTONE CHRISTIAN SCHOOLS,1001 N. FORT CROOK ROAD,,BELLEVUE,NE,68005-,(402)292-1030,,00,SARPY,tlschrag@ccsnebraska.org
JEFFREY RIPPE,77-0001-000,BELLEVUE PUBLIC SCHOOLS,2600 ARBORETUM DRIVE,,BELLEVUE,NE,68005-3591,(402)293-4000,(402)293-5002,03,SARPY,jeff.rippe@bpsne.net
KEVIN RILEY,77-0037-000,GRETNA PUBLIC SCHOOLS,11717 S 216TH ST,,GRETNA,NE,68028-4729,(402)332-3265,(402)332-5833,03,SARPY,kriley@gpsne.org
,77-0705-000,ST COLUMBKILLE ELEMENTARY SCH,224 E 5TH ST RM 100,,PAPILLION,NE,68046-2299,(402)339-8706,(402)592-4147,00,SARPY,
,77-0706-000,ST MATTHEW THE EVANGELIST SCH,12210 S 36TH ST SUITE B,,BELLEVUE,NE,68123-1299,(402)291-2030,(402)292-7421,00,SARPY,
,77-0721-000,NGL ACADEMY,330 RILEY BLDG, BELLEVUE UNIVERSITY, 100,,BELLEVUE,NE,,(301)452-9230,,00,SARPY,
,77-4002-000,PATRICK J THOMAS JUVENILE JUSTICE CNTR,9701 PORTAL ROAD,,PAPILLION,NE,68046-3033,(402)537-7030,(402)537-7098,03,SARPY,
ANDREW RIKLI,77-0027-000,PAPILLION LA VISTA COMMUNITY SCHOOLS,420 S WASHINGTON ST,,PAPILLION,NE,68046-2667,(402)537-9998,(402)537-6216,03,SARPY,arikli@paplv.org
Brett Richards,77-0046-000,SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,14801 S 108TH ST,,SPRINGFIELD,NE,68059-4925,(402)592-1300,(402)597-8551,03,SARPY,brichards@springfieldplatteview.org
Michael Ashton,77-0701-000,ST MARY ELEMENTARY SCHOOL,903 WEST MISSION AVE,,BELLEVUE,NE,68005-3998,(402)291-1694,(402)291-9667,03,SARPY,mwashton@archomaha.org
Michael Ashton,77-0702-000,ST BERNADETTE ELEMENTARY SCH,7600 S 42ND ST,,OMAHA,NE,68147-1702,(402)731-3033,(402)731-8735,03,SARPY,mwashton@archomaha.org
Michael Ashton,77-0703-000,DANIEL J GROSS CATHOLIC HIGH,7700 S 43RD ST,,BELLEVUE,NE,68147-1706,(402)734-2000,(402)734-4270,03,SARPY,mwashton@archomaha.org
Michael Ashton,77-0720-000,PRIMROSE SCH OF LA VISTA-PRIVATE KDG,8202 S 97TH PLAZA,,LAVISTA,NE,68128-,(402)517-1153,,03,SARPY,mwashton@archomaha.org
Brandon Lavaley,78-0039-000,WAHOO PUBLIC SCHOOLS,2201 N LOCUST,,WAHOO,NE,68066-1093,(402)443-3051,(402)443-4731,02,SAUNDERS,blavaley@wahoowarriors.org
